"Slno","SectionNo","Type","Title"
"1015","400","CrPC","Statement by Metropolitan Magistrate of grounds of his decision to be considered by High Court"
"1016","401","CrPC","High Court's order to be certified to lower Court"
"1017","402","CrPC","Power of Supreme Court to transfer cases and appeals"
"1018","403","CrPC","Power of High Court to transfer cases and appeals"
"1019","404","CrPC","Power of Sessions Judge to transfer cases and appeals"
"1020","405","CrPC","Withdrawal of cases and appeals by Sessions Judges"
"1021","406","CrPC","Withdrawal of cases by Judicial Magistrates"
"1022","407","CrPC","Making over or withdrawal of cases by Executive Magistrates"
"1023","408","CrPC","Reasons to be recorded"
"1024","409","CrPC","Execution of order passed under section "
"1025","410","CrPC","Execution of sentence of death passed by High Court"
"1026","411","CrPC","Postponement of execution of sentence of death in case of appeal to Supreme Court"
"1027","412","CrPC","Postponement of capital sentence on pregnant woman"
"1028","413","CrPC","Power to appoint place of imprisonment"
"1029","414","CrPC","Execution of sentence of imprisonment"
"1030","415","CrPC","Direction of warrant for execution"
"1031","416","CrPC","Warrant with whom to be lodged"
"1032","417","CrPC","Warrant for levy of fine"
"1033","418","CrPC","Effect of such warrant"
"1034","419","CrPC","Warrant for levy of fine issued by a Court in any territory to which this Code does not extend"
"1035","420","CrPC","Suspension of execution of sentence of imprisonment"
"1036","421","CrPC","Who may issue warrant"
"1037","422","CrPC","Sentence on escaped convict when to take effect"
"1038","423","CrPC","Sentence on offender already sentenced for another offence"
"1039","424","CrPC","Period of detention undergone by the accused to be set off against the sentence of imprisonment"
"1040","425","CrPC","Saving"
"1041","426","CrPC","Return of warrant on execution of sentence"
"1042","427","CrPC","Money ordered to be paid recoverable as a fine"
"1043","428","CrPC","Power to suspend or remit sentences"
"1044","429","CrPC","Power to commute sentence"
"1045","430","CrPC","Restriction on powers of remission or commutation in certain cases"
"1046","431","CrPC","Concurrent power of Central Government in case of death sentences"
"1047","432","CrPC","State Government to act after consultation with Central Government in certain cases"
"1048","433","CrPC","In what cases bail to be taken"
"1049","433A ","CrPC","Maximum period for which an under trial prisoner can be detained"
"1050","434","CrPC","When bail may be taken in case of non-bailable offence"
"1051","435","CrPC","Direction for grant of bail to person apprehending arrest"
"1052","436","CrPC","Special powers of High Court or Court of Session regarding bail"
"1053","436A ","CrPC","Amount of bond and reduction thereof"
"1054","437","CrPC","Bond of accused and sureties"
"1055","438","CrPC","Declaration by sureties"
"1056","439","CrPC","Discharge from custody"
"1057","440","CrPC","Power to order sufficient bail when that first taken is insufficient"
"1058","441","CrPC","Discharge of sureties"
"1059","441A ","CrPC","Deposit instead of recognizance"
"1060","442","CrPC","Procedure when bond has been forfeited"
"1061","443","CrPC","Cancellation of bond and bail bond"
"1062","444","CrPC","Procedure in case of insolvency or death of surety or when a bond is forfeited"
"1063","445","CrPC","Bond required from minor"
"1064","446","CrPC","Appeal from orders under section "
"1065","446A ","CrPC","Power to direct levy of amount due on certain recognizances"
"1066","447","CrPC","Order for custody and disposal of property pending trial in certain cases"
"1067","448","CrPC","Order for disposal of property at conclusion of trial"
"1068","449","CrPC","Payment to innocent purchaser of money found on accused"
"1069","450","CrPC","Appeal against orders under section  or section "
"1070","451","CrPC","Destruction of libellous and other matter"
"1071","452","CrPC","Power to restore possession of immovable property"
"1072","453","CrPC","Procedure by police upon seizure of property"
"1073","454","CrPC","Procedure when no claimant appears within six months"
"1074","455","CrPC","Power to sell perishable property"
"1075","456","CrPC","Irregularities which do not vitiate proceedings"
"1076","457","CrPC","Irregularities which vitiate proceedings"
"1077","458","CrPC","Proceedings in wrong place"
"1078","459","CrPC","Non-compliance with provisions of section  or section "
"1079","460","CrPC","Effect of omission to frame, or absence of, or error in, charge"
"1080","461","CrPC","Finding or sentence when reversible by reason of error, omission or irregularity"
"1081","462","CrPC","Defect or error not to make attachment unlawful"
"1082","463","CrPC","Definitions"
"1083","464","CrPC","Bar to taking cognizance after lapse of the period of limitation"
"1084","465","CrPC","Commencement of the period of limitation"
"1085","466","CrPC","Exclusion of time in certain cases"
"1086","467","CrPC","Exclusion of date on which Court is closed"
"1087","468","CrPC","Continuing offence"
"1088","469","CrPC","Extension of period of limitation in certain cases"
"1089","470","CrPC","Trials before High Court"
"1090","471","CrPC","Delivery to commanding officers of persons liable to be tried by Court-martial"
"1091","472","CrPC","Forms"
"1092","473","CrPC","Power of High Court to make rules"
"1093","474","CrPC","Power to alter functions allocated to Executive Magistrates in certain cases"
"1094","475","CrPC","Cases in which Judge or Magistrate is personally interested"
"1095","476","CrPC","Practising pleader not to sit as Magistrate in certain Courts"
"1096","477","CrPC","Public servant concerned in sale not to purchase or bid for property"
"1097","478","CrPC","Saving of inherent power of High Court"
"1098","479","CrPC","Duty of High Court to exercise continuous superintendence over Courts of Judicial Magistrates"
"1099","480","CrPC","Repeal and savings"
"1100","481","CrPC","Cognizance of offence []"
"1101","482","CrPC","Victim compensation scheme"
"1102","483","CrPC","Compensation to be in addition to fine under Section A or Section D of Indian Penal Code []"
"1103","484","CrPC","Treatment of victims []"
"1104","1","CPC","Short title, commencement and extent"
"1105","2","CPC","Definitions"
"1106","5","CPC","Application of the Code of Revenue Courts"
"1107","6","CPC","Pecuniary jurisdiction"
"1108","7","CPC","Provincial Small Cause Courts"
"1109","8","CPC","Presidency Small Cause Courts"
"1110","9","CPC","Courts to try all civil suits unless barred"
"1111","10","CPC","Stay of suit"
"1112","11","CPC","Res judicata"
"1113","12","CPC","Bar to further suit"
"1114","13","CPC","When foreign judgment not conclusive"
"1115","14","CPC","Presumption as to foreign judgment"
"1116","15","CPC","Court in which suits to be instituted"
"1117","17","CPC","Suits for immovable property situate within jurisdiction of different Courts"
"1118","19","CPC","Suits for compensation for wrongs to person or movable property"
"1119","22","CPC","Power to transfer suits which may be instituted in more than one Court"
"1120","23","CPC","To what Court application lies"
"1121","24","CPC","General power of transfer and withdrawal"
"1122","25","CPC","Power of Supreme Court to transfer suits, etc"
"1123","26","CPC","Institution of suits"
"1124","27","CPC","Summons to defendants"
"1125","29","CPC","Service of foreign summons"
"1126","30","CPC","Power to order discovery and the like"
